iter	Passed	Remaining
1013	14247	27905
1014	14260	27889
1015	14274	27874
1016	14288	27859
1017	14302	27845
1018	14317	27833
1019	14330	27818
1020	14344	27803
1021	14357	27787
1022	14371	27774
1023	14385	27758
1024	14398	27743
1025	14412	27728
1026	14425	27713
1027	14439	27699
1028	14453	27685
1029	14468	27672
1030	14484	27662
1031	14498	27648
1032	14509	27628
1033	14524	27615
1034	14537	27599
1035	14550	27583
1036	14565	27571
1037	14579	27557
1038	14592	27542
1039	14607	27530
1040	14621	27515
1041	14636	27502
1042	14649	27487
1043	14663	27472
1044	14678	27460
1045	14691	27445
1046	14704	27429
1047	14717	27412
1048	14731	27397
1049	14744	27381
1050	14758	27368
1051	14772	27353
1052	14786	27340
1053	14799	27324
1054	14812	27308
1055	14825	27293
1056	14839	27278
1057	14853	27263
1058	14867	27250
1059	14881	27236
1060	14895	27221
1061	14909	27207
1062	14922	27192
1063	14938	27181
1064	14951	27166
1065	14965	27151
1066	14979	27136
1067	14993	27123
1068	15008	27109
1069	15021	27094
1070	15035	27081
1071	15049	27066
1072	15065	27056
1073	15080	27043
1074	15093	27027
1075	15106	27011
1076	15119	26995
1077	15134	26983
1078	15147	26967
1079	15160	26952
1080	15174	26937
1081	15188	26923
1082	15203	26910
1083	15216	26896
1084	15230	26881
1085	15244	26866
1086	15259	26855
1087	15275	26844
1088	15289	26829
1089	15302	26813
1090	15315	26798
1091	15328	26783
1092	15341	26767
1093	15355	26751
1094	15368	26736
1095	15383	26724
1096	15396	26709
1097	15411	26695
1098	15424	26680
1099	15438	26665
1100	15451	26651
1101	15465	26636
1102	15482	26626
1103	15507	26633
1104	15532	26636
1105	15553	26635
1106	15577	26638
1107	15601	26640
1108	15625	26643
1109	15648	26644
1110	15661	26628
1111	15674	26612
1112	15687	26596
1113	15700	26580
1114	15713	26565
1115	15726	26548
1116	15739	26532
1117	15754	26520
1118	15767	26505
1119	15781	26489
1120	15793	26473
1121	15807	26457
1122	15820	26441
1123	15833	26426
1124	15846	26411
1125	15859	26395
1126	15872	26379
1127	15886	26364
1128	15899	26348
1129	15912	26333
1130	15926	26318
1131	15938	26302
1132	15952	26287
1133	15965	26271
1134	15978	26255
1135	15991	26239
1136	16005	26224
1137	16018	26210
1138	16032	26195
1139	16045	26179
1140	16059	26165
1141	16072	26150
1142	16086	26135
1143	16100	26121
1144	16114	26106
1145	16128	26092
1146	16141	26077
1147	16155	26062
1148	16169	26048
1149	16182	26032
1150	16196	26017
1151	16209	26002
1152	16222	25987
1153	16236	25972
1154	16249	25957
1155	16262	25941
1156	16276	25926
1157	16290	25912
1158	16307	25903
1159	16332	25907
1160	16354	25905
1161	16377	25905
1162	16399	25903
1163	16412	25887
1164	16426	25872
1165	16439	25857
1166	16452	25841
1167	16465	25825
1168	16478	25810
1169	16492	25795
